showDate	HolidayStatus	venue name	venue city	venue state	venue country	venue capacity
7/1/2022	2	Coastal Credit Union Music Park	Raleigh	NC	United States	20601
7/2/2022	2	Veterans United Home Loans Amphitheater At Virginia Beach	Virginia Beach	VA	United States	20000
7/7/2022	0	Bank Of New Hampshire Pavilion At Meadowbrook	Gilford	NH	United States	9000
7/8/2022	0	Bethel Woods Center For The Arts	Bethel	NY	United States	16000
7/12/2022	0	Pine Knob Music Theatre	Clarkston	MI	United States	15274
7/13/2022	0	Ruoff Music Center	Noblesville	IN	United States	24790
7/15/2022	0	Hollywood Casino Amphitheatre Stl	Tinley Park	IL	United States	20000
7/16/2022	0	Hollywood Casino Amphitheatre Stl	Maryland Heights	MO	United States	20000
7/17/2022	0	Walmart Amp	Rogers	AR	United States	10000
7/19/2022	0	Germania Insurance Amphitheater	Austin	TX	United States	14000
7/20/2022	0	Dos Equis Pavilion	Dallas	GA	United States	20000
7/21/2022	0	Cynthia Woods Mitchell Pavilion	Spring	TX	United States	16500
7/23/2022	0	Isleta Amphitheater	Albuquerque	NM	United States	15000
7/24/2022	0	Talking Stick Resort Amphitheater	Phoenix	AZ	United States	20000
7/26/2022	0	Northern Island Credit Union	San Diego	CA	United States	25000
7/29/2022	0	Fivepoint Amphitheatre	Irvine	CA	United States	12000
7/30/2022	0	Concord Pavilion	Concord	CA	United States	12500
7/31/2022	0	Shoreline Amphitheater	Mountain View	CA	United States	23000
8/2/2022	0	Climate Pledge Arena	Seattle	WA	United States	17459
8/3/2022	0	Hayden Homes Amphitheater	Bend	OR	United States	8000
4/15/2023	0	Mgm Grand Theater At Foxwoods	Mashantucket	CT	United States	9000
4/20/2023	0	Des Plaines Theater	Des Plaines	IL	United States	900
4/21/2023	0	The Arcada Theatre	Saint Charles	IL	United States	2800
4/22/2023	0	The Crofoot Ballroom	Pontiac	MI	United States	1100
9/1/2022	0	Frost Amphitheater	Stanford	CA	United States	8500
9/2/2022	2	Bill Graham Civic Auditorium	San Francisco	CA	United States	8500
9/10/2022	0	The Fillmore Denver	Denver	CO	United States	6764
10/13/2022	0	Roadrunner	Boston	MA	United States	6480
10/15/2022	0	The Anthem	Washington	DC	United States	6000
9/29/2023	0	Toyota Center	Houston	TX	United States	18300
11/4/2023	0	Spectrum Center	Charlotte	NC	United States	17500
11/6/2023	0	State Farm Arena	Atlanta	GA	United States	21000
3/22/2022	0	Rose Bowl Tavern	Urbana	IL	United States	650
3/23/2022	0	The Stache	Grand Rapids	MI	United States	500
3/29/2022	0	Ardmore Music Hall	Ardmore	PA	United States	500
4/6/2022	0	3S Artspace	Portsmouth	NH	United States	400
5/22/2022	0	Ventura Music Hall	Ventura	CA	United States	1800
5/23/2022	0	The Belly Up Tavern	Solana Beach	CA	United States	600
5/25/2022	0	Golden State Theatre	Monterey	CA	United States	1300
5/29/2022	2	The Triple Door	Seattle	WA	United States	600
6/1/2022	0	Rose Wagner Performing Arts Center	Salt Lake City	UT	United States	925
6/3/2022	0	Paramount Theatre	Denver	CO	United States	3040
6/6/2022	0	Coach House	San Juan Capistrano	CA	United States	660
5/24/2022	0	Cable Dahmer Arena	Independence	MO	United States	5800
10/8/2022	2	Apollo Theater	New York City	NY	United States	2491
2/10/2022	0	Staples Center	Los Angeles	CA	United States	21000
